Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) 
India,2019,Meat & Seafood," 20,187 "," 23,092 ", 74 , 457 , 57 
Spain,2020,Fruits & Vegetables," 33,031 "," 30,017 ", 169 ," 1,212 ", 68 
France,2024,Grains & Cereals," 46,890 "," 50,991 ", 101 , 970 , 69 
Germany,2022,Meat & Seafood," 41,004 "," 46,604 ", 25 , 647 , 55 
Mexico,2021,Prepared Food," 30,751 "," 33,432 ", 137 , 230 , 35 
China,2021,Frozen Food," 30,637 "," 25,280 ", 175 ," 1,027 ", 66 
Mexico,2022,Grains & Cereals," 34,149 "," 38,842 ", 102 , 942 , 36 
Indonesia,2022,Meat & Seafood," 46,816 "," 42,424 ", 118 ," 1,051 ", 32 
China,2021,Prepared Food," 12,514 "," 10,732 ", 90 ," 1,377 ", 31 
Australia,2023,Grains & Cereals," 41,819 "," 36,926 ", 196 , 814 , 68 
South Korea,2023,Prepared Food," 49,108 "," 50,026 ", 115 , 234 , 58 
Turkey,2023,Grains & Cereals," 42,525 "," 43,268 ", 96 ," 1,201 ", 35 
India,2023,Bakery Items," 11,041 "," 11,279 ", 84 , 172 , 65 
Spain,2021,Grains & Cereals," 44,082 "," 44,430 ", 107 , 349 , 65 
Mexico,2023,Prepared Food," 35,076 "," 35,115 ", 56 , 377 , 32 
Italy,2022,Prepared Food," 20,946 "," 17,515 ", 162 , 517 , 62 
Turkey,2024,Dairy Products," 41,634 "," 38,231 ", 169 , 563 , 65 
Russia,2021,Beverages," 42,467 "," 34,601 ", 38 ," 1,389 ", 38 
Saudi Arabia,2019,Beverages," 30,420 "," 36,046 ", 28 ," 1,364 ", 46 
Saudi Arabia,2020,Bakery Items," 28,809 "," 23,817 ", 115 , 189 , 60 
Italy,2019,Bakery Items," 20,245 "," 22,806 ", 168 , 635 , 33 
Australia,2023,Meat & Seafood," 22,704 "," 24,956 ", 67 ," 1,358 ", 50 
Italy,2023,Dairy Products," 13,326 "," 11,475 ", 139 ," 1,019 ", 43 
UK,2019,Beverages," 45,581 "," 37,685 ", 30 , 394 , 62 
Spain,2023,Meat & Seafood," 19,686 "," 21,084 ", 37 ," 1,093 ", 36 
South Korea,2021,Fruits & Vegetables," 41,192 "," 47,097 ", 40 , 550 , 67 
Mexico,2021,Dairy Products," 1,532 "," 1,367 ", 58 ," 1,061 ", 67 
UK,2022,Dairy Products," 31,688 "," 25,867 ", 26 , 267 , 65 
UK,2024,Bakery Items," 32,539 "," 36,744 ", 159 , 53 , 34 
South Africa,2022,Prepared Food," 20,894 "," 20,180 ", 110 , 625 , 39 
Australia,2023,Frozen Food," 18,747 "," 17,600 ", 67 , 833 , 57 
Mexico,2023,Grains & Cereals," 44,680 "," 53,062 ", 140 , 905 , 62 
China,2020,Grains & Cereals," 4,101 "," 3,967 ", 162 , 735 , 51 
Russia,2020,Meat & Seafood," 10,164 "," 8,929 ", 45 , 667 , 59 
UK,2020,Fruits & Vegetables," 3,194 "," 3,543 ", 146 ," 1,089 ", 44 
Saudi Arabia,2022,Dairy Products," 13,520 "," 12,199 ", 169 ," 1,060 ", 47 
Japan,2022,Beverages," 46,515 "," 45,618 ", 101 , 335 , 54 
Canada,2024,Dairy Products," 39,004 "," 44,356 ", 58 , 896 , 39 
Brazil,2023,Meat & Seafood," 38,139 "," 41,925 ", 59 ," 1,054 ", 60 
Turkey,2022,Bakery Items," 37,878 "," 45,093 ", 33 , 245 , 45 
Argentina,2021,Meat & Seafood," 49,387 "," 46,709 ", 130 , 774 , 44 
South Korea,2019,Dairy Products," 14,842 "," 15,528 ", 172 ," 1,383 ", 47 
UK,2020,Bakery Items," 31,713 "," 27,577 ", 188 , 133 , 47 
Brazil,2022,Fruits & Vegetables," 2,042 "," 2,256 ", 78 , 213 , 44 
Germany,2020,Meat & Seafood," 20,303 "," 20,726 ", 160 , 840 , 50 
Brazil,2021,Dairy Products," 2,712 "," 2,736 ", 185 , 228 , 67 
Indonesia,2021,Beverages," 39,887 "," 35,685 ", 127 , 993 , 53 
Germany,2021,Dairy Products," 28,451 "," 34,008 ", 180 ," 1,075 ", 31 
USA,2024,Frozen Food," 7,126 "," 6,079 ", 166 , 685 , 32 
Italy,2020,Meat & Seafood," 42,110 "," 39,773 ", 162 , 674 , 51 
Australia,2021,Grains & Cereals," 23,064 "," 21,332 ", 168 , 643 , 50 
France,2024,Fruits & Vegetables," 32,948 "," 27,989 ", 58 , 926 , 37 
Japan,2021,Grains & Cereals," 29,945 "," 34,924 ", 29 , 261 , 42 
Italy,2019,Dairy Products," 38,709 "," 38,602 ", 164 , 741 , 49 
Australia,2018,Bakery Items," 15,382 "," 14,887 ", 173 , 764 , 63 
Argentina,2024,Grains & Cereals," 16,271 "," 16,901 ", 144 , 847 , 47 
Australia,2022,Meat & Seafood," 8,998 "," 8,133 ", 165 , 585 , 55 
Mexico,2019,Bakery Items," 36,424 "," 37,743 ", 71 , 184 , 63 
India,2021,Fruits & Vegetables," 34,845 "," 28,235 ", 191 ," 1,240 ", 51 
Indonesia,2020,Frozen Food," 37,903 "," 39,273 ", 156 ," 1,215 ", 59 
Spain,2022,Dairy Products," 44,004 "," 35,541 ", 93 ," 1,176 ", 31 
South Africa,2020,Grains & Cereals," 14,912 "," 12,840 ", 34 , 160 , 54 
Canada,2023,Beverages," 5,164 "," 5,767 ", 189 ," 1,246 ", 52 
Italy,2020,Meat & Seafood," 31,602 "," 25,537 ", 134 , 474 , 61 
USA,2021,Frozen Food," 37,875 "," 45,348 ", 143 , 726 , 45 
Argentina,2023,Meat & Seafood," 41,911 "," 47,437 ", 90 , 325 , 67 
France,2021,Beverages," 40,449 "," 47,696 ", 197 , 168 , 43 
France,2020,Meat & Seafood," 42,443 "," 45,789 ", 188 , 143 , 32 
Russia,2022,Prepared Food," 19,047 "," 16,267 ", 171 , 272 , 32 
China,2018,Grains & Cereals," 47,750 "," 39,100 ", 189 , 360 , 43 
Canada,2018,Bakery Items," 49,342 "," 52,775 ", 106 , 906 , 59 
Indonesia,2020,Frozen Food," 44,591 "," 45,631 ", 166 , 909 , 40 
Canada,2019,Prepared Food," 31,133 "," 28,269 ", 24 , 458 , 40 
Japan,2021,Grains & Cereals," 7,226 "," 7,394 ", 106 ," 1,247 ", 32 
Japan,2024,Frozen Food," 2,887 "," 3,327 ", 148 , 14 , 66 
France,2020,Beverages," 12,397 "," 11,858 ", 136 , 821 , 30 
Italy,2023,Meat & Seafood," 28,316 "," 30,769 ", 179 , 519 , 62 
USA,2024,Grains & Cereals," 34,832 "," 32,199 ", 198 ," 1,367 ", 32 
USA,2020,Dairy Products," 2,395 "," 2,591 ", 184 ," 1,231 ", 53 
South Africa,2019,Beverages," 12,613 "," 10,764 ", 102 , 392 , 63 
Spain,2021,Dairy Products," 7,913 "," 8,075 ", 152 , 178 , 60 
Russia,2023,Frozen Food," 32,703 "," 32,321 ", 74 ," 1,392 ", 32 
Mexico,2018,Beverages," 34,292 "," 33,457 ", 148 , 158 , 67 
China,2019,Bakery Items," 26,061 "," 29,623 ", 192 , 419 , 50 
Russia,2024,Fruits & Vegetables," 23,570 "," 27,289 ", 199 ," 1,095 ", 58 
Canada,2020,Meat & Seafood," 5,979 "," 5,833 ", 41 , 937 , 62 
China,2018,Meat & Seafood," 30,127 "," 28,702 ", 134 ," 1,257 ", 42 
India,2019,Meat & Seafood," 37,712 "," 44,058 ", 77 ," 1,261 ", 62 
USA,2021,Meat & Seafood," 24,499 "," 28,438 ", 52 , 46 , 63 
USA,2020,Bakery Items," 26,719 "," 30,067 ", 117 , 371 , 44 
Japan,2022,Grains & Cereals," 3,719 "," 3,804 ", 61 , 883 , 50 
Japan,2020,Frozen Food," 12,303 "," 11,330 ", 65 , 890 , 42 
Germany,2022,Grains & Cereals," 5,457 "," 5,390 ", 148 , 668 , 42 
Canada,2019,Beverages," 40,705 "," 40,259 ", 60 ," 1,009 ", 63 
Spain,2022,Frozen Food," 21,309 "," 17,978 ", 161 , 811 , 56 
Mexico,2020,Prepared Food," 28,456 "," 28,702 ", 65 ," 1,270 ", 56 
South Korea,2019,Beverages, 562 , 628 , 122 , 462 , 62 
South Africa,2022,Beverages," 29,920 "," 25,148 ", 33 ," 1,017 ", 55 
Spain,2021,Grains & Cereals," 40,334 "," 38,795 ", 51 , 985 , 63 
Germany,2020,Bakery Items," 21,625 "," 23,407 ", 143 ," 1,267 ", 41 
Turkey,2021,Bakery Items," 30,451 "," 30,812 ", 21 , 87 , 66 
UK,2023,Bakery Items," 8,620 "," 9,439 ", 75 ," 1,107 ", 45 
Mexico,2018,Prepared Food," 24,221 "," 24,937 ", 145 , 815 , 45 
South Africa,2018,Fruits & Vegetables," 42,649 "," 45,762 ", 78 , 223 , 46 
France,2024,Grains & Cereals," 22,355 "," 18,258 ", 28 , 690 , 47 
Germany,2022,Bakery Items," 18,850 "," 18,543 ", 167 , 947 , 68 
USA,2021,Grains & Cereals," 2,047 "," 2,370 ", 72 , 35 , 63 
Spain,2023,Bakery Items," 30,417 "," 28,835 ", 26 , 681 , 62 
USA,2022,Frozen Food," 11,891 "," 13,680 ", 179 , 382 , 53 
Brazil,2022,Fruits & Vegetables," 41,759 "," 35,161 ", 92 ," 1,097 ", 42 
Turkey,2022,Meat & Seafood," 29,113 "," 27,117 ", 22 , 726 , 46 
Canada,2023,Prepared Food," 16,070 "," 16,317 ", 43 ," 1,354 ", 54 
Brazil,2023,Prepared Food," 19,086 "," 21,107 ", 168 , 872 , 62 
Mexico,2023,Beverages," 45,330 "," 45,566 ", 136 , 855 , 40 
Germany,2019,Fruits & Vegetables," 24,914 "," 29,706 ", 33 ," 1,268 ", 43 
Indonesia,2019,Meat & Seafood," 6,273 "," 5,946 ", 166 , 149 , 41 
Brazil,2022,Fruits & Vegetables," 43,847 "," 44,810 ", 68 , 168 , 41 
Turkey,2021,Beverages," 13,865 "," 15,566 ", 48 , 910 , 45 
Saudi Arabia,2023,Prepared Food," 35,128 "," 38,874 ", 186 , 877 , 51 
South Africa,2023,Beverages," 13,535 "," 12,428 ", 149 ," 1,190 ", 54 
South Korea,2022,Beverages," 14,780 "," 12,126 ", 183 , 831 , 51 
Germany,2021,Bakery Items," 12,746 "," 12,489 ", 119 , 553 , 59 
Spain,2020,Frozen Food," 15,449 "," 12,990 ", 124 , 43 , 40 
Japan,2024,Meat & Seafood," 37,101 "," 35,853 ", 144 , 321 , 40 
China,2019,Bakery Items," 35,356 "," 37,869 ", 77 , 458 , 56 
Mexico,2024,Meat & Seafood," 12,930 "," 13,351 ", 173 , 87 , 52 
Canada,2024,Bakery Items," 13,512 "," 15,702 ", 169 , 407 , 37 
UK,2022,Meat & Seafood," 10,643 "," 9,247 ", 74 ," 1,201 ", 52 
Russia,2019,Prepared Food," 34,493 "," 36,122 ", 197 , 118 , 66 
Spain,2020,Bakery Items," 11,092 "," 10,035 ", 150 ," 1,216 ", 56 
South Korea,2024,Frozen Food," 13,338 "," 12,308 ", 112 , 450 , 43 
Canada,2020,Frozen Food," 25,112 "," 28,296 ", 191 ," 1,022 ", 58 
Australia,2023,Grains & Cereals," 1,435 "," 1,522 ", 99 ," 1,151 ", 62 
Australia,2024,Bakery Items," 17,941 "," 14,499 ", 165 , 493 , 33 
Japan,2022,Meat & Seafood," 48,373 "," 48,305 ", 177 ," 1,289 ", 36 
USA,2024,Dairy Products," 9,666 "," 9,796 ", 192 , 301 , 63 
China,2021,Prepared Food," 10,462 "," 12,443 ", 39 , 875 , 33 
Mexico,2022,Prepared Food," 24,836 "," 23,122 ", 69 ," 1,311 ", 50 
Brazil,2019,Prepared Food," 13,807 "," 11,633 ", 23 , 654 , 54 
Brazil,2022,Prepared Food," 49,395 "," 40,327 ", 100 ," 1,123 ", 42 
India,2018,Beverages," 20,942 "," 18,650 ", 124 , 128 , 49 
UK,2019,Meat & Seafood," 10,367 "," 11,884 ", 129 , 463 , 53 
Germany,2023,Dairy Products," 39,760 "," 38,053 ", 70 , 842 , 42 
Germany,2024,Prepared Food," 47,659 "," 56,031 ", 89 ," 1,025 ", 63 
Saudi Arabia,2022,Beverages," 14,009 "," 12,257 ", 145 ," 1,284 ", 51 
Saudi Arabia,2019,Meat & Seafood," 43,154 "," 37,000 ", 175 ," 1,097 ", 31 
Indonesia,2023,Grains & Cereals," 21,517 "," 25,166 ", 62 , 511 , 31 
Australia,2019,Dairy Products," 15,479 "," 16,007 ", 35 , 222 , 31 
France,2018,Dairy Products," 7,635 "," 6,921 ", 153 , 820 , 69 
France,2018,Beverages," 3,715 "," 4,207 ", 146 ," 1,024 ", 65 
Canada,2022,Grains & Cereals," 44,914 "," 37,680 ", 168 , 908 , 59 
Turkey,2023,Bakery Items," 48,953 "," 45,037 ", 127 , 486 , 63 
Argentina,2023,Grains & Cereals," 18,528 "," 15,310 ", 40 , 586 , 34 
USA,2021,Grains & Cereals," 6,925 "," 6,480 ", 81 , 812 , 57 
Indonesia,2018,Bakery Items," 16,533 "," 13,724 ", 79 ," 1,018 ", 55 
Indonesia,2023,Dairy Products," 42,686 "," 35,909 ", 131 , 932 , 40 
Canada,2018,Meat & Seafood," 12,736 "," 14,985 ", 119 , 971 , 54 
Australia,2019,Dairy Products," 46,106 "," 45,513 ", 81 , 231 , 33 
Japan,2024,Dairy Products," 35,892 "," 36,288 ", 155 , 184 , 31 
Russia,2023,Fruits & Vegetables," 6,482 "," 6,870 ", 30 , 292 , 54 
China,2020,Dairy Products," 21,628 "," 24,588 ", 119 ," 1,070 ", 59 
Italy,2023,Beverages," 20,092 "," 18,646 ", 24 , 317 , 64 
Australia,2022,Dairy Products," 48,373 "," 50,449 ", 59 ," 1,328 ", 34 
Mexico,2024,Grains & Cereals," 17,325 "," 20,113 ", 140 , 244 , 31 
South Africa,2019,Beverages," 28,540 "," 27,498 ", 114 , 572 , 59 
Japan,2019,Dairy Products," 20,167 "," 18,982 ", 62 , 652 , 63 
Mexico,2022,Beverages," 16,309 "," 13,446 ", 55 , 286 , 56 
Germany,2019,Prepared Food," 39,516 "," 43,657 ", 84 , 242 , 42 
Brazil,2023,Bakery Items," 6,367 "," 5,602 ", 136 , 858 , 59 
Spain,2020,Dairy Products," 17,787 "," 19,471 ", 128 , 958 , 46 
Mexico,2023,Meat & Seafood," 26,861 "," 23,432 ", 108 , 854 , 55 
China,2020,Prepared Food," 3,237 "," 3,128 ", 29 , 847 , 50 
China,2020,Beverages," 46,073 "," 42,722 ", 142 , 582 , 56 
South Korea,2018,Fruits & Vegetables," 24,411 "," 22,267 ", 189 , 715 , 55 
France,2024,Dairy Products," 11,016 "," 10,330 ", 200 ," 1,212 ", 58 
Turkey,2018,Frozen Food," 18,825 "," 16,221 ", 122 ," 1,191 ", 52 
UK,2024,Grains & Cereals," 30,252 "," 30,485 ", 155 , 673 , 33 
Japan,2021,Grains & Cereals," 28,189 "," 25,430 ", 159 , 335 , 54 
India,2018,Beverages," 28,018 "," 33,553 ", 133 , 227 , 56 
Canada,2022,Meat & Seafood," 47,128 "," 42,677 ", 74 , 784 , 32 
China,2023,Dairy Products," 29,274 "," 32,530 ", 131 , 473 , 52 
Argentina,2021,Bakery Items," 10,847 "," 11,717 ", 198 , 123 , 37 
Spain,2023,Grains & Cereals," 20,059 "," 20,403 ", 86 , 691 , 48 
Brazil,2018,Bakery Items," 23,892 "," 20,702 ", 99 ," 1,112 ", 59 
Indonesia,2022,Meat & Seafood," 15,956 "," 15,881 ", 41 ," 1,179 ", 63 
Argentina,2022,Frozen Food," 44,823 "," 49,895 ", 197 , 147 , 58 
Turkey,2019,Prepared Food," 4,850 "," 4,608 ", 39 ," 1,304 ", 59 
Canada,2020,Beverages," 12,697 "," 11,643 ", 113 ," 1,115 ", 64 
Canada,2024,Bakery Items," 44,657 "," 35,786 ", 61 , 532 , 68 
Germany,2018,Prepared Food," 33,073 "," 27,679 ", 27 , 443 , 38 
Russia,2024,Fruits & Vegetables," 6,639 "," 7,472 ", 191 , 859 , 47 
Turkey,2019,Prepared Food," 29,636 "," 24,638 ", 102 , 576 , 46 
China,2022,Beverages," 3,119 "," 2,909 ", 54 , 718 , 69 
France,2019,Fruits & Vegetables," 22,248 "," 20,257 ", 174 , 817 , 49 
India,2024,Frozen Food," 21,206 "," 22,700 ", 123 , 828 , 66 
Australia,2019,Beverages," 1,160 "," 1,158 ", 163 , 862 , 32 
Mexico,2018,Beverages," 20,437 "," 18,176 ", 141 ," 1,219 ", 49 
India,2023,Prepared Food," 26,978 "," 24,530 ", 194 , 341 , 68 
USA,2022,Prepared Food," 25,659 "," 27,458 ", 59 , 561 , 59 
South Korea,2022,Meat & Seafood," 30,589 "," 31,102 ", 22 , 965 , 57 
USA,2022,Dairy Products," 42,055 "," 40,586 ", 165 , 677 , 53 
India,2019,Fruits & Vegetables," 20,334 "," 19,203 ", 29 , 695 , 68 
Brazil,2018,Prepared Food," 3,696 "," 3,321 ", 167 , 385 , 44 
South Korea,2024,Fruits & Vegetables," 5,443 "," 6,473 ", 91 , 781 , 61 
Mexico,2024,Frozen Food," 27,555 "," 32,212 ", 199 , 879 , 58 
France,2023,Dairy Products," 17,164 "," 15,214 ", 93 , 796 , 38 
Mexico,2018,Frozen Food," 20,128 "," 23,659 ", 24 ," 1,319 ", 34 
South Korea,2019,Prepared Food," 33,617 "," 37,461 ", 97 , 793 , 68 
Spain,2021,Grains & Cereals," 24,828 "," 28,576 ", 128 , 85 , 54 
China,2018,Fruits & Vegetables," 39,190 "," 31,791 ", 131 , 81 , 55 
Australia,2019,Frozen Food," 18,657 "," 18,849 ", 125 , 852 , 33 
Argentina,2020,Prepared Food," 41,121 "," 43,607 ", 80 , 644 , 50 
Australia,2023,Dairy Products," 37,511 "," 39,567 ", 164 , 484 , 62 
China,2018,Meat & Seafood," 12,159 "," 10,519 ", 83 , 660 , 62 
USA,2024,Grains & Cereals," 34,569 "," 40,687 ", 140 ," 1,131 ", 52 
Germany,2020,Dairy Products," 30,427 "," 33,884 ", 55 , 516 , 53 
Italy,2023,Bakery Items," 4,743 "," 4,114 ", 114 , 345 , 58 
Brazil,2021,Prepared Food," 43,200 "," 41,602 ", 156 , 73 , 60 
Germany,2020,Grains & Cereals," 15,847 "," 15,977 ", 30 , 14 , 69 
China,2021,Prepared Food," 31,604 "," 26,619 ", 94 ," 1,041 ", 58 
Turkey,2021,Beverages," 16,371 "," 14,570 ", 47 , 750 , 35 
Mexico,2024,Meat & Seafood," 46,119 "," 49,920 ", 167 , 74 , 68 
India,2018,Dairy Products," 45,092 "," 49,126 ", 26 ," 1,153 ", 67 
Indonesia,2024,Fruits & Vegetables," 19,490 "," 16,283 ", 74 , 742 , 65 
UK,2022,Fruits & Vegetables," 23,277 "," 22,356 ", 46 , 630 , 32 
China,2020,Prepared Food," 24,031 "," 23,044 ", 126 , 267 , 38 
Germany,2020,Beverages," 5,423 "," 5,241 ", 162 , 962 , 56 
Mexico,2018,Bakery Items," 21,949 "," 21,903 ", 31 , 31 , 47 
UK,2020,Grains & Cereals," 1,081 "," 1,230 ", 61 , 224 , 64 
UK,2022,Prepared Food," 14,431 "," 16,888 ", 144 , 963 , 45 
Spain,2021,Prepared Food," 44,577 "," 43,740 ", 197 , 902 , 32 
Japan,2021,Frozen Food," 46,521 "," 39,479 ", 152 , 999 , 35 
UK,2022,Prepared Food," 31,464 "," 28,078 ", 132 , 727 , 56 
Japan,2021,Frozen Food," 3,453 "," 3,784 ", 192 ," 1,087 ", 44 
China,2022,Meat & Seafood," 26,277 "," 30,675 ", 21 , 657 , 43 
India,2018,Dairy Products," 41,442 "," 49,120 ", 144 , 89 , 41 
India,2018,Bakery Items," 7,407 "," 8,434 ", 65 , 947 , 39 
Saudi Arabia,2021,Prepared Food," 7,623 "," 6,158 ", 134 , 432 , 46 
Saudi Arabia,2022,Beverages," 30,653 "," 26,070 ", 77 , 112 , 65 
Argentina,2020,Meat & Seafood," 36,153 "," 36,871 ", 176 ," 1,121 ", 61 
India,2023,Fruits & Vegetables," 11,603 "," 11,644 ", 26 , 140 , 45 
Canada,2019,Meat & Seafood," 33,343 "," 26,738 ", 167 , 795 , 66 
Indonesia,2023,Bakery Items," 11,476 "," 12,886 ", 136 , 21 , 39 
Canada,2024,Grains & Cereals," 10,073 "," 9,513 ", 181 , 28 , 44 
Spain,2024,Prepared Food," 34,365 "," 32,364 ", 81 , 117 , 68 
Japan,2019,Beverages," 14,797 "," 16,708 ", 92 , 703 , 55 
South Africa,2020,Bakery Items," 23,361 "," 22,195 ", 180 , 363 , 40 
China,2022,Meat & Seafood," 1,012 ", 920 , 37 , 957 , 46 
Indonesia,2018,Beverages," 27,661 "," 27,546 ", 74 , 472 , 50 
China,2020,Meat & Seafood," 37,064 "," 38,959 ", 66 , 970 , 57 
Argentina,2024,Grains & Cereals," 9,529 "," 7,712 ", 30 , 206 , 52 
India,2023,Prepared Food," 37,981 "," 40,453 ", 28 ," 1,076 ", 58 
Germany,2021,Prepared Food," 16,123 "," 16,005 ", 99 , 974 , 38 
Germany,2019,Bakery Items," 20,979 "," 21,563 ", 44 , 385 , 57 
USA,2023,Beverages," 22,495 "," 22,123 ", 110 , 907 , 34 
France,2023,Grains & Cereals," 21,228 "," 17,378 ", 21 , 539 , 31 
UK,2021,Prepared Food," 39,112 "," 39,807 ", 52 , 864 , 41 
Russia,2020,Meat & Seafood," 16,164 "," 17,607 ", 151 , 920 , 32 
Mexico,2023,Beverages," 15,737 "," 18,485 ", 43 , 675 , 35 
Argentina,2019,Beverages," 43,822 "," 39,412 ", 46 , 425 , 63 
South Korea,2022,Beverages," 37,480 "," 30,030 ", 168 , 498 , 48 
China,2019,Fruits & Vegetables," 3,824 "," 4,044 ", 87 ," 1,174 ", 44 
South Africa,2022,Fruits & Vegetables," 21,318 "," 25,153 ", 179 ," 1,114 ", 30 
South Korea,2021,Fruits & Vegetables," 42,860 "," 50,711 ", 127 , 25 , 58 
Spain,2018,Prepared Food," 43,305 "," 41,726 ", 85 ," 1,109 ", 49 
Mexico,2020,Bakery Items," 28,094 "," 27,792 ", 109 ," 1,386 ", 53 
Canada,2018,Beverages," 26,293 "," 25,147 ", 106 ," 1,374 ", 31 
Indonesia,2020,Beverages," 21,237 "," 23,526 ", 124 , 666 , 63 
Italy,2023,Frozen Food," 7,048 "," 7,770 ", 192 ," 1,066 ", 38 
Argentina,2019,Bakery Items," 26,445 "," 21,751 ", 123 , 832 , 32 
Argentina,2021,Prepared Food," 38,867 "," 41,263 ", 25 , 644 , 53 
South Africa,2020,Frozen Food," 49,873 "," 52,126 ", 150 , 971 , 34 
Brazil,2022,Bakery Items, 575 , 680 , 75 ," 1,105 ", 54 
Italy,2022,Prepared Food," 6,745 "," 6,123 ", 28 ," 1,308 ", 37 
Russia,2023,Beverages," 25,545 "," 20,535 ", 83 , 254 , 62 
China,2023,Meat & Seafood," 31,228 "," 27,532 ", 175 , 427 , 31 
Italy,2021,Fruits & Vegetables," 30,957 "," 31,992 ", 138 , 777 , 38 
South Africa,2023,Bakery Items," 34,812 "," 40,287 ", 114 , 949 , 43 
South Africa,2024,Dairy Products," 6,165 "," 6,649 ", 60 , 587 , 52 
UK,2023,Prepared Food," 7,565 "," 8,080 ", 85 , 623 , 50 
Italy,2021,Fruits & Vegetables," 39,468 "," 44,239 ", 161 ," 1,065 ", 50 
Germany,2021,Dairy Products," 2,575 "," 2,948 ", 145 , 762 , 52 
France,2018,Meat & Seafood," 29,641 "," 30,421 ", 178 , 154 , 61 
Spain,2024,Meat & Seafood," 44,974 "," 51,882 ", 36 , 309 , 58 
Canada,2019,Dairy Products," 49,647 "," 56,894 ", 145 , 885 , 58 
UK,2024,Grains & Cereals," 19,391 "," 22,473 ", 145 , 954 , 50 
Australia,2024,Fruits & Vegetables," 22,251 "," 22,715 ", 65 ," 1,290 ", 31 
Australia,2021,Frozen Food," 7,128 "," 6,705 ", 21 , 698 , 48 
India,2023,Frozen Food," 2,720 "," 2,582 ", 28 , 362 , 44 
USA,2024,Frozen Food," 43,994 "," 51,378 ", 93 , 828 , 67 
Spain,2019,Prepared Food," 20,260 "," 18,394 ", 116 ," 1,054 ", 51 
Russia,2024,Frozen Food," 36,253 "," 40,806 ", 124 , 948 , 55 
Germany,2022,Grains & Cereals," 29,994 "," 26,144 ", 171 ," 1,395 ", 31 
Canada,2023,Meat & Seafood," 35,565 "," 32,462 ", 166 , 287 , 66 
Indonesia,2021,Fruits & Vegetables," 22,829 "," 24,110 ", 41 , 901 , 45 
Saudi Arabia,2024,Meat & Seafood," 42,110 "," 38,051 ", 122 , 153 , 66 
South Africa,2019,Grains & Cereals," 22,941 "," 26,488 ", 25 , 75 , 57 
South Africa,2021,Bakery Items," 47,715 "," 47,347 ", 29 , 690 , 57 
Germany,2018,Beverages," 11,104 "," 10,174 ", 70 , 491 , 69 
USA,2018,Dairy Products," 1,115 "," 1,314 ", 109 , 69 , 52 
South Korea,2021,Dairy Products," 5,461 "," 5,640 ", 54 , 187 , 68 
Saudi Arabia,2018,Bakery Items," 35,407 "," 38,644 ", 105 , 155 , 39 
Brazil,2024,Dairy Products," 36,311 "," 37,535 ", 153 , 255 , 53 
France,2018,Beverages," 47,669 "," 41,734 ", 64 , 477 , 66 
China,2018,Bakery Items," 10,004 "," 11,999 ", 118 ," 1,362 ", 48 
China,2019,Meat & Seafood," 10,810 "," 9,015 ", 35 , 121 , 69 
Russia,2019,Frozen Food," 4,275 "," 4,274 ", 137 , 97 , 53 
India,2022,Dairy Products," 1,993 "," 1,653 ", 150 ," 1,042 ", 49 
Italy,2023,Frozen Food," 37,300 "," 34,242 ", 118 ," 1,163 ", 58 
France,2022,Prepared Food," 5,118 "," 4,341 ", 148 , 860 , 50 
South Africa,2019,Dairy Products," 12,616 "," 13,451 ", 124 , 410 , 42 
USA,2022,Frozen Food," 22,874 "," 19,014 ", 129 , 953 , 56 
USA,2024,Frozen Food," 34,920 "," 41,297 ", 120 , 167 , 34 
France,2018,Beverages," 6,088 "," 6,795 ", 102 ," 1,149 ", 54 
Australia,2023,Dairy Products," 20,113 "," 23,111 ", 183 , 398 , 47 
Saudi Arabia,2024,Beverages," 7,002 "," 6,254 ", 115 , 506 , 53 
China,2022,Beverages," 25,815 "," 29,076 ", 193 , 174 , 35 
Argentina,2024,Prepared Food," 9,741 "," 10,923 ", 121 ," 1,137 ", 52 
Spain,2021,Frozen Food," 41,721 "," 41,115 ", 25 , 567 , 45 
South Africa,2021,Beverages," 49,192 "," 59,030 ", 29 ," 1,291 ", 41 
Indonesia,2021,Dairy Products," 46,626 "," 48,881 ", 121 , 915 , 65 
India,2020,Prepared Food," 8,909 "," 8,804 ", 160 ," 1,037 ", 49 
Japan,2018,Meat & Seafood," 16,810 "," 18,629 ", 21 ," 1,338 ", 37 
France,2023,Dairy Products," 40,464 "," 38,574 ", 197 , 726 , 59 
India,2020,Meat & Seafood," 11,109 "," 12,459 ", 71 ," 1,051 ", 37 
Turkey,2019,Bakery Items," 3,050 "," 3,310 ", 27 , 749 , 53 
France,2019,Dairy Products," 40,180 "," 36,905 ", 144 ," 1,354 ", 41 
China,2021,Frozen Food," 39,805 "," 38,328 ", 122 , 730 , 51 
UK,2018,Prepared Food," 12,237 "," 11,798 ", 170 , 258 , 48 
Saudi Arabia,2023,Dairy Products," 39,089 "," 43,320 ", 146 ," 1,208 ", 54 
Brazil,2019,Grains & Cereals," 6,051 "," 5,041 ", 125 ," 1,084 ", 60 
South Africa,2023,Beverages," 16,405 "," 16,489 ", 145 ," 1,259 ", 49 
Australia,2018,Bakery Items," 1,099 "," 1,258 ", 114 , 52 , 63 
